title,tag_stem
Teenage Mutant Ninja Turtles: Out of the Shadows,teenage mutant ninja turtles remake collection fantasy action adventure comedy paramount pictures nickelodeon movies platinum dunes action gama entertainment partners supervillain shredder escapes custody joins forces scientist baxter stockman dimwitted henchmen bebop rocksteady unleash diabolical plan take world turtles prepare take shredder crew find facing even greater evil similar intentions notorious krang
The Nice Guys,action comedy crime thriller silver pictures warner bros waypoint entertainment bloom nice guys misty mountains private investigates apparent suicide fading porn star angeles uncovers conspiracy
Popstar: Never Stop Never Stopping,comedy music universal pictures apatow productions party lonely island album fails sell records poprap superstar conner real goes major tailspin watches celebrity high life begin collapse hell anything bounce back anything except reuniting group style boyz
Trolls,adventure animation family twentieth century film corporation dreamworks animation lovable friendly trolls love play around mysterious giant shows party poppy optimistic leader trolls polar opposite branch must embark adventure takes beyond world ever known
Rogue One: A Star Wars Story,star wars collection action adventure science fiction lucasfilm walt disney pictures allison shearmur productions black hangar studios stereo rogue band resistance fighters unite mission steal death star plans bring hope galaxy
Office Christmas Party,comedy paramount pictures dreamworks dreamworks pictures bluegrass films uptight sister threatens shut branch branch manager throws epic christmas party order land client save party gets hand
Jackie,drama searchlight pictures productions wild bunch protozoa pictures bliss media entertainment fabula endemol shine studios jackie productions account days first lady jacqueline kennedy immediate aftermath john kennedys assassination
Moana,adventure animation family walt disney pictures walt disney animation studios ancient polynesia terrible curse incurred maui reaches impetuous chieftains daughters island answers oceans call seek demigod things right
Collateral Beauty,drama romance line cinema village roadshow pictures likely story anonymous content overbrook entertainment palmstar media retreating life tragedy questions universe writing love time death receiving unexpected answers begins things interlock even loss reveal moments meaning beauty
The Autopsy of Jane Doe,horror mystery global impostor pictures father coroners receive mysterious unidentified corpse apparent cause death attempt examine beautiful young jane discover increasingly bizarre clues hold terrifying secrets
Lion,drama weinstein company seesaw films screen australia aquarius films sunstar entertainment fiveyearold indian gets lost streets calcutta thousands kilometers home survives many challenges adopted couple australia years later sets find lost family
Manchester by the Sea,drama indie pictures amazon studios pearl street films entertainment period media story affleckmiddleton project older brother passes away chandler forced return home care yearold nephew compelled deal tragic past separated family community born raised
Jack Reacher: Never Go Back,jack reacher collection action paramount pictures shanghai film group productions skydance media huahua media jack reacher must uncover truth behind major government conspiracy order clear name fugitive reacher uncovers potential secret past could change life forever
Ouija: Origin of Evil,ouija collection horror thriller universal pictures platinum dunes hasbro blumhouse productions allspark pictures angeles widowed mother daughters stunt bolster ance scam business unwittingly invite authentic evil home youngest daughter overtaken merciless spirit small family confronts unthinkable fears save send possessor back side
Hacksaw Ridge,drama history icon productions permut presentations pandemonium cross creek pictures vendian entertainment demarest media wwii american army medic desmond doss served battle okinawa refuses kill people becomes first conscientious objector american history receive congressional medal honor
Keeping Up with the Joneses,action comedy pictures parkesmacdonald image nation ordinary suburban couple finds easy keeping joneses impossibly gorgeous ultrasophisticated neighbors especially discover jones covert operatives
Inferno,robert langdon collection thriller columbia pictures imagine entertainment atlantic films sony pictures releasing lstar capital waking hospital amnesia professor robert langdon doctor must race time foil deadly global plot
